year,age,reg,value
2011,0,Российская Федерация,7.4
,,Центральный федеральный округ,6.5
,,Белгородская область,5
,,Брянская область,9.2
,,Владимирская область,6.1
,,Воронежская область,6.1
,,Ивановская область,8.2
,,Калужская область,6.8
,,Костромская область,7.4
,,Курская область,7.7
,,Липецкая область,7.3
,,Московская область,6.1
,,Орловская область,7.8
,,Рязанская область,7.3
,,Смоленская область,7.3
,,Тамбовская область,4.2
,,Тверская область,8.4
,,Тульская область,5.6
,,Ярославская область,5.9
,,Город Москва столица Российской Федерации город федерального значения,6.4
,,Республика Алтай,11.1
,,Республика Тыва,13.6
,,Республика Хакасия,9.5
,,Алтайский край,7.8
,,Красноярский край,7.9
,,Иркутская область,9.1
,,Кемеровская область - Кузбасс,7.5
,,Новосибирская область,7.3
,,Омская область,6
,,Томская область,7.1
,,Республика Бурятия,8.1
,,Забайкальский край,6.4
,,Республика Саха (Якутия),6.3
,,Камчатский край,10.1
,,Приморский край,9.9
,,Хабаровский край,10.7
,,Амурская область,10.9
,,Магаданская область,7.3
,,Сахалинская область,4.5
,,Еврейская автономная область,14.2
,,Чукотский автономный округ,14.4
,,Северо-Западный федеральный округ,5.5
,,Республика Карелия,5.6
,,Республика Коми,4.4
,,Архангельская область,6.9
,,Ненецкий автономный округ (Архангельская область),10.7
,,Архангельская область (кроме Ненецкого автономного округа),6.7
,,Вологодская область,6.5
,,Калининградская область,4.5
,,Ленинградская область,5.2
,,Мурманская область,8.5
,,Новгородская область,7.8
,,Псковская область,6.2
,,Город Санкт-Петербург город федерального значения,4.5
,,Южный федеральный округ (с 2010 года),7.2
,,Республика Адыгея (Адыгея),5.6
,,Республика Калмыкия,5.7
,,Краснодарский край,6.2
,,Астраханская область,7.3
,,Волгоградская область,9.1
,,Ростовская область,7.6
,,Северо-Кавказский федеральный округ,13.2
,,Республика Дагестан,15.5
,,Республика Ингушетия,13.6
,,Кабардино-Балкарская Республика,5.7
,,Карачаево-Черкесская Республика,8.1
,,Республика Северная Осетия-Алания,9.6
,,Чеченская Республика,18.1
,,Ставропольский край,8.7
,,Приволжский федеральный округ,6.3
,,Республика Башкортостан,6.7
,,Республика Марий Эл,5.8
,,Республика Мордовия,5.1
,,Республика Татарстан (Татарстан),5
,,Удмуртская Республика,5.8
,,Чувашская Республика - Чувашия,3.5
,,Пермский край,7.5
,,Кировская область,6.5
,,Нижегородская область,7.1
,,Оренбургская область,7.8
,,Пензенская область,5.7
,,Самарская область,6.4
,,Саратовская область,5.8
,,Ульяновская область,7.6
,,Уральский федеральный округ,6.7
,,Курганская область,9.5
,,Свердловская область,5.8
,,Тюменская область,6.2
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),5.3
,,Ямало-Ненецкий автономный округ (Тюменская область),10.6
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),5.5
,,Челябинская область,7.7
,,Сибирский федеральный округ,7.9
,,Дальневосточный федеральный округ,9.2
,10-14 лет,Российская Федерация,0.3
,,Центральный федеральный округ,0.3
,,Белгородская область,0.3
,,Брянская область,0.2
,,Владимирская область,0.3
,,Воронежская область,0.3
,,Ивановская область,0.3
,,Калужская область,0.1
,,Костромская область,0.4
,,Курская область,0.3
,,Липецкая область,0.3
,,Московская область,0.3
,,Орловская область,0.3
,,Рязанская область,0.4
,,Смоленская область,0.4
,,Тамбовская область,0.2
,,Тверская область,0.3
,,Тульская область,0.2
,,Ярославская область,0.2
,,Город Москва столица Российской Федерации город федерального значения,0.2
,,Республика Алтай,0.7
,,Республика Тыва,1
,,Республика Хакасия,0.4
,,Алтайский край,0.4
,,Красноярский край,0.3
,,Иркутская область,0.6
,,Кемеровская область - Кузбасс,0.4
,,Новосибирская область,0.3
,,Омская область,0.4
,,Томская область,0.4
,,Республика Бурятия,0.4
,,Забайкальский край,0.6
,,Республика Саха (Якутия),0.3
,,Камчатский край,0.2
,,Приморский край,0.5
,,Хабаровский край,0.5
,,Амурская область,0.5
,,Магаданская область,0.5
,,Сахалинская область,0.5
,,Еврейская автономная область,0.5
,,Чукотский автономный округ,1.2
,,Северо-Западный федеральный округ,0.3
,,Республика Карелия,0.2
,,Республика Коми,0.4
,,Архангельская область,0.4
,,Ненецкий автономный округ (Архангельская область),0.4
,,Архангельская область (кроме Ненецкого автономного округа),0.4
,,Вологодская область,0.4
,,Калининградская область,0.2
,,Ленинградская область,0.3
